name,username_type,acount_age,number_of_edits,total_posts,talking_type,status,rights,partition,editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient,UID,only_edits
Carsrac,registered,122.29180726959942,3682,49,1,1,1,6,Carsrac,0.0136855506047103,0.0076074797491157,0.3063919881951114,8.435169552236796e-05,0.5183831672203765,U44,3633.0
Kaldari,registered,117.64975514745532,3618,351,0,1,1,1,Kaldari,0.0247794853141765,0.0201802228287552,0.3487354131063222,0.0004367305911099,0.3076092822450081,U45,3267.0
ברוקולי,registered,30.28504159717326,31,1,0,0,1,6,ברוקולי,0.0007729380740201,0.0005434188705638,0.2647344161727712,0.0,1.0,U46,30.0
Hanay,registered,123.63004145647528,4697,81,0,1,1,0,Hanay,0.0270073656451759,0.0360175670158214,0.3465795239283984,0.0002098689250419,0.6705730719221444,U47,4616.0
חיים 7,registered,121.82286882459373,48326,23,1,1,1,6,חיים 7,0.0015004092025097,0.0014673383625488,0.275204381273915,2.439192262313482e-06,0.5681818181818182,U48,48303.0
MathKnight,registered,120.61710104321864,4654,4,2,1,1,6,MathKnight,0.0008638719650813,0.0006718204031647,0.2707038290417166,5.428771244734129e-07,0.8654970760233918,U49,4650.0
Oyoyoy,registered,119.26144464142163,283,2,0,1,1,6,Oyoyoy,0.0071837773938346,0.0043603210996258,0.2981973458633757,1.3079440642553414e-05,0.8288317342578408,U50,281.0
TZivyA,registered,112.99900598765052,15578,1,0,1,1,6,TZivyA,0.0007729380740201,0.0005434188705638,0.2647344161727712,0.0,1.0,U51,15577.0
ליאור,registered,118.3660688142505,28,1,0,1,1,6,ליאור,0.0007729380740201,0.0005434188705638,0.2647344161727712,0.0,1.0,U52,27.0
Aviados,registered,105.8119038872956,4656,35,1,1,1,5,Aviados,0.0126398108575065,0.0100881154432858,0.3159206723392936,1.5485254483456323e-05,0.8930472950159728,U53,4621.0
אורח פורח,registered,52.41137661203781,3,1,0,0,1,6,אורח פורח,0.0007729380740201,0.0005434188705638,0.2647344161727712,0.0,1.0,U54,2.0
